Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,xG,xAG,xG+xAG,npxG,npxG+xAG,Team
Alex Murphy,ie IRL,"DF,FW",19.0,2,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Joe White,eng ENG,MF,20.0,4,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Amadou Diallo,eng ENG,MF,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Michael Ndiweni,eng ENG,FW,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Mark Gillespie,eng ENG,GK,31.0,0,0,,,,,,,,,Newcastle-United
Travis Hearnes,no NOR,MF,17.0,0,0,,,,,,,,,Newcastle-United
Javier Manquillo,es ESP,DF,29.0,0,0,,,,,,,,,Newcastle-United
André Onana,cm CMR,GK,27.0,38,38,3420.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,Manchester-United
Diogo Dalot,pt POR,DF,24.0,36,35,3174.0,2.0,3.0,1.7,2.9,0.13,1.7,4.6,Manchester-United
Bruno Fernandes,pt POR,"MF,FW",28.0,35,35,3118.0,10.0,8.0,10.0,11.8,0.63,6.1,17.8,Manchester-United
Alejandro Garnacho,ar ARG,FW,19.0,36,30,2565.0,7.0,4.0,8.4,5.1,0.47,8.3,13.4,Manchester-United
Marcus Rashford,eng ENG,FW,25.0,33,26,2271.0,7.0,2.0,7.4,2.3,0.38,5.8,8.1,Manchester-United
Rasmus Højlund,dk DEN,FW,20.0,30,25,2158.0,10.0,2.0,7.6,1.6,0.38,7.6,9.2,Manchester-United
Casemiro,br BRA,"MF,DF",31.0,25,24,1982.0,1.0,2.0,3.5,1.0,0.2,3.5,4.5,Manchester-United
Kobbie Mainoo,eng ENG,MF,18.0,24,24,1924.0,3.0,1.0,0.9,0.7,0.07,0.9,1.6,Manchester-United
Aaron Wan-Bissaka,eng ENG,DF,25.0,22,20,1780.0,0.0,2.0,0.1,1.5,0.08,0.1,1.6,Manchester-United
Scott McTominay,sct SCO,"MF,FW",26.0,32,18,1901.0,7.0,1.0,5.7,0.8,0.31,5.7,6.6,Manchester-United
Harry Maguire,eng ENG,DF,30.0,22,18,1653.0,2.0,2.0,2.0,1.2,0.18,2.0,3.3,Manchester-United
Raphaël Varane,fr FRA,DF,30.0,22,16,1375.0,1.0,0.0,1.3,0.1,0.09,1.3,1.3,Manchester-United
Jonny Evans,nir NIR,DF,35.0,23,15,1392.0,0.0,1.0,0.1,1.2,0.08,0.1,1.2,Manchester-United
Antony,br BRA,FW,23.0,29,15,1324.0,1.0,1.0,3.4,2.8,0.42,3.4,6.1,Manchester-United
Victor Lindelöf,se SWE,DF,29.0,19,14,1328.0,1.0,1.0,0.8,0.3,0.07,0.8,1.1,Manchester-United
Christian Eriksen,dk DEN,MF,31.0,22,12,1141.0,1.0,2.0,1.0,2.3,0.26,1.0,3.3,Manchester-United
Luke Shaw,eng ENG,DF,28.0,12,12,959.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,Manchester-United
Sofyan Amrabat,ma MAR,"MF,DF",26.0,21,10,938.0,0.0,0.0,0.1,0.3,0.04,0.1,0.4,Manchester-United
Lisandro Martínez,ar ARG,DF,25.0,11,8,646.0,0.0,1.0,0.0,0.1,0.01,0.0,0.1,Manchester-United
Mason Mount,eng ENG,"MF,FW",24.0,14,5,516.0,1.0,0.0,0.4,0.3,0.13,0.4,0.7,Manchester-United
Anthony Martial,fr FRA,FW,27.0,13,5,448.0,1.0,0.0,1.2,0.2,0.29,1.2,1.5,Manchester-United
Sergio Reguilón,es ESP,DF,26.0,9,4,412.0,0.0,0.0,0.2,0.7,0.2,0.2,0.9,Manchester-United
Amad Diallo,ci CIV,"FW,MF",21.0,9,3,390.0,1.0,1.0,0.5,1.1,0.36,0.5,1.6,Manchester-United
Willy Kambwala,fr FRA,DF,18.0,8,3,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-United
Facundo Pellistri,uy URU,"FW,MF",21.0,9,1,172.0,0.0,1.0,0.7,0.1,0.43,0.7,0.8,Manchester-United
Hannibal Mejbri,tn TUN,"MF,FW",20.0,5,1,133.0,1.0,0.0,0.0,0.4,0.27,0.0,0.4,Manchester-United
Omari Forson,eng ENG,FW,19.0,4,1,70.0,0.0,1.0,0.0,0.2,0.27,0.0,0.2,Manchester-United
Jadon Sancho,eng ENG,"FW,MF",23.0,3,0,79.0,0.0,0.0,0.0,0.1,0.06,0.0,0.1,Manchester-United
Ethan Wheatley,eng ENG,FW,17.0,3,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-United
Donny van de Beek,nl NED,DF,26.0,1,0,3.0,0.0,0.0,0.0,0.1,5.54,0.0,0.2,Manchester-United
Daniel Gore,eng ENG,MF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-United
Harry Amass,eng ENG,DF,16.0,0,0,,,,,,,,,Manchester-United
Altay Bayındır,tr TUR,GK,25.0,0,0,,,,,,,,,Manchester-United
Rhys Bennett,eng ENG,DF,19.0,0,0,,,,,,,,,Manchester-United
Álvaro Carreras,es ESP,"DF,MF",20.0,0,0,,,,,,,,,Manchester-United
Toby Collyer,eng ENG,MF,19.0,0,0,,,,,,,,,Manchester-United
Tom Heaton,eng ENG,GK,37.0,0,0,,,,,,,,,Manchester-United
Dean Henderson,eng ENG,GK,26.0,0,0,,,,,,,,,Manchester-United
Joe Hugill,eng ENG,FW,19.0,0,0,,,,,,,,,Manchester-United
Louis Jackson,sct SCO,DF,17.0,0,0,,,,,,,,,Manchester-United
Dermot Mee,nir NIR,GK,20.0,0,0,,,,,,,,,Manchester-United
Habeeb Ogunneye,eng ENG,DF,18.0,0,0,,,,,,,,,Manchester-United
Radek Vítek,,GK,19.0,0,0,,,,,,,,,Manchester-United
Vladimír Coufal,cz CZE,DF,30.0,36,36,3132.0,0.0,7.0,0.3,4.0,0.12,0.3,4.3,West-Ham-United
Emerson Palmieri,it ITA,DF,28.0,36,35,3137.0,1.0,2.0,1.5,2.4,0.11,1.5,3.9,West-Ham-United
Jarrod Bowen,eng ENG,FW,26.0,34,34,3019.0,16.0,6.0,11.6,5.5,0.51,11.6,17.2,West-Ham-United
James Ward-Prowse,eng ENG,MF,28.0,37,34,3001.0,7.0,7.0,6.0,7.8,0.41,4.4,12.3,West-Ham-United
Tomáš Souček,cz CZE,MF,28.0,37,34,2870.0,7.0,2.0,6.7,1.7,0.26,6.7,8.4,West-Ham-United
Kurt Zouma,fr FRA,DF,28.0,33,32,2838.0,3.0,0.0,1.8,0.2,0.06,1.8,2.0,West-Ham-United
Alphonse Areola,fr FRA,GK,30.0,31,31,2699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United
Lucas Paquetá,br BRA,"FW,MF",25.0,31,31,2622.0,4.0,6.0,5.4,5.4,0.37,3.8,9.2,West-Ham-United
Edson Álvarez,mx MEX,MF,25.0,31,28,2377.0,1.0,1.0,1.3,0.6,0.07,1.3,1.9,West-Ham-United
Mohammed Kudus,gh GHA,"FW,MF",22.0,33,27,2484.0,8.0,6.0,5.1,3.5,0.31,5.1,8.6,West-Ham-United
Nayef Aguerd,ma MAR,DF,27.0,21,21,1857.0,1.0,0.0,1.5,0.3,0.09,1.5,1.8,West-Ham-United
Michail Antonio,jm JAM,FW,33.0,26,21,1695.0,6.0,2.0,5.8,0.9,0.35,5.8,6.7,West-Ham-United
Konstantinos Mavropanos,gr GRE,DF,25.0,19,16,1500.0,1.0,0.0,1.2,0.2,0.08,1.2,1.4,West-Ham-United
Łukasz Fabiański,pl POL,GK,38.0,10,7,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United
Angelo Ogbonna,it ITA,DF,35.0,11,7,635.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,West-Ham-United
Saïd Benrahma,dz ALG,"FW,MF",27.0,13,5,620.0,0.0,1.0,1.8,1.4,0.47,1.0,2.5,West-Ham-United
Ben Johnson,eng ENG,"DF,FW",23.0,14,4,544.0,0.0,0.0,0.2,0.0,0.03,0.2,0.2,West-Ham-United
Aaron Cresswell,eng ENG,"DF,FW",33.0,11,4,436.0,0.0,0.0,0.0,0.4,0.09,0.0,0.4,West-Ham-United
Pablo Fornals,es ESP,"MF,FW",27.0,15,4,426.0,0.0,0.0,0.3,0.3,0.13,0.3,0.6,West-Ham-United
Danny Ings,eng ENG,FW,31.0,20,3,404.0,1.0,0.0,1.3,0.3,0.34,1.3,1.5,West-Ham-United
Kalvin Phillips,eng ENG,MF,27.0,8,3,309.0,0.0,0.0,0.1,0.0,0.02,0.1,0.1,West-Ham-United
Maxwel Cornet,ci CIV,"MF,FW",26.0,7,1,112.0,1.0,0.0,0.4,0.2,0.46,0.4,0.6,West-Ham-United
Divin Mubama,eng ENG,FW,18.0,5,0,80.0,0.0,0.0,0.1,0.0,0.17,0.1,0.1,West-Ham-United
George Earthy,eng ENG,FW,18.0,3,0,34.0,1.0,0.0,0.3,0.0,0.82,0.3,0.3,West-Ham-United
Thilo Kehrer,de GER,"DF,MF",26.0,4,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United
Kaelan Casey,eng ENG,DF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United
Joseph Anang,eng ENG,GK,23.0,0,0,,,,,,,,,West-Ham-United
Conor Coventry,ie IRL,MF,23.0,0,0,,,,,,,,,West-Ham-United
Levi Laing,eng ENG,DF,20.0,0,0,,,,,,,,,West-Ham-United
Callum Marshall,nir NIR,FW,18.0,0,0,,,,,,,,,West-Ham-United
Lewis Orford,eng ENG,MF,17.0,0,0,,,,,,,,,West-Ham-United
Oliver Scarles,eng ENG,DF,17.0,0,0,,,,,,,,,West-Ham-United
Joachim Andersen,dk DEN,DF,27.0,38,38,3415.0,2.0,3.0,1.7,2.8,0.12,1.7,4.5,Crystal-Palace
Tyrick Mitchell,eng ENG,"DF,MF",23.0,37,37,3204.0,2.0,3.0,1.6,2.8,0.12,1.6,4.4,Crystal-Palace
Jordan Ayew,gh GHA,"FW,MF",31.0,35,30,2543.0,4.0,7.0,3.9,4.2,0.29,3.9,8.1,Crystal-Palace
Jefferson Lerma,co COL,"MF,DF",28.0,28,27,2400.0,1.0,1.0,2.7,2.2,0.18,2.7,4.8,Crystal-Palace
Jean-Philippe Mateta,fr FRA,FW,26.0,35,25,2282.0,16.0,5.0,10.9,3.1,0.56,9.4,12.5,Crystal-Palace
Eberechi Eze,eng ENG,"MF,FW",25.0,27,24,2055.0,11.0,4.0,9.1,5.2,0.62,8.3,13.5,Crystal-Palace
Chris Richards,us USA,"DF,MF",23.0,26,23,2094.0,1.0,1.0,0.6,0.4,0.04,0.6,1.0,Crystal-Palace
Marc Guéhi,eng ENG,DF,23.0,25,23,2021.0,0.0,1.0,0.6,0.6,0.05,0.6,1.2,Crystal-Palace
Joel Ward,eng ENG,DF,33.0,26,23,1980.0,0.0,1.0,0.9,0.2,0.05,0.9,1.1,Crystal-Palace
Will Hughes,eng ENG,MF,28.0,30,23,1891.0,0.0,1.0,0.3,1.1,0.07,0.3,1.5,Crystal-Palace
Sam Johnstone,eng ENG,GK,30.0,20,20,1796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Dean Henderson,eng ENG,GK,26.0,18,18,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Odsonne Édouard,fr FRA,"FW,MF",25.0,30,17,1555.0,7.0,0.0,6.2,1.2,0.43,6.2,7.4,Crystal-Palace
Jeffrey Schlupp,gh GHA,"FW,MF",30.0,29,17,1352.0,2.0,2.0,1.8,2.3,0.27,1.8,4.1,Crystal-Palace
Daniel Muñoz,co COL,"DF,MF",27.0,16,16,1439.0,0.0,4.0,1.2,2.4,0.23,1.2,3.7,Crystal-Palace
Adam Wharton,eng ENG,MF,19.0,16,15,1297.0,0.0,3.0,0.3,2.4,0.19,0.3,2.8,Crystal-Palace
Nathaniel Clyne,eng ENG,DF,32.0,19,14,1338.0,0.0,0.0,0.2,0.2,0.03,0.2,0.4,Crystal-Palace
Michael Olise,fr FRA,"FW,MF",21.0,19,14,1275.0,10.0,6.0,5.5,5.8,0.8,4.7,10.5,Crystal-Palace
Cheick Doucouré,ml MLI,MF,23.0,11,11,919.0,0.0,0.0,0.3,0.7,0.1,0.3,1.0,Crystal-Palace
Jaïro Riedewald,nl NED,"MF,FW",26.0,9,2,235.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,Crystal-Palace
Matheus França,br BRA,"MF,FW",19.0,10,1,232.0,0.0,1.0,0.4,0.9,0.48,0.4,1.2,Crystal-Palace
Naouirou Ahamada,fr FRA,"MF,FW",21.0,20,0,349.0,0.0,0.0,0.5,0.0,0.13,0.5,0.5,Crystal-Palace
David Ozoh,eng ENG,"MF,DF",18.0,9,0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Jesurun Rak Sakyi,eng ENG,"MF,FW",20.0,6,0,136.0,0.0,0.0,0.4,0.2,0.38,0.4,0.6,Crystal-Palace
James Tomkins,eng ENG,DF,34.0,4,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Remi Matthews,eng ENG,GK,29.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Tayo Adaramola,ie IRL,DF,19.0,0,0,,,,,,,,,Crystal-Palace
Malcolm Ebiowei,eng ENG,MF,19.0,0,0,,,,,,,,,Crystal-Palace
John-Kymani Gordon,eng ENG,"FW,MF",20.0,0,0,,,,,,,,,Crystal-Palace
Rob Holding,eng ENG,DF,27.0,0,0,,,,,,,,,Crystal-Palace
Roshaun Mathurin,eng ENG,FW,19.0,0,0,,,,,,,,,Crystal-Palace
Ademola Ola-Adebomi,eng ENG,FW,19.0,0,0,,,,,,,,,Crystal-Palace
Luke Plange,eng ENG,FW,20.0,0,0,,,,,,,,,Crystal-Palace
Jadan Raymond,wls WAL,MF,19.0,0,0,,,,,,,,,Crystal-Palace
Kaden Rodney,eng ENG,DF,18.0,0,0,,,,,,,,,Crystal-Palace
Franco Umeh-Chibueze,ie IRL,MF,18.0,0,0,,,,,,,,,Crystal-Palace
Joseph Whitworth,eng ENG,GK,19.0,0,0,,,,,,,,,Crystal-Palace
Pascal Groß,de GER,"MF,DF",32.0,36,34,3114.0,4.0,10.0,6.5,8.1,0.42,5.7,13.8,Brighton-and-Hove-Albion
Lewis Dunk,eng ENG,DF,31.0,33,33,2869.0,3.0,1.0,3.1,0.9,0.12,3.1,4.0,Brighton-and-Hove-Albion
Jan Paul van Hecke,nl NED,DF,23.0,28,26,2369.0,0.0,0.0,1.2,0.9,0.08,1.2,2.1,Brighton-and-Hove-Albion
Simon Adingra,ci CIV,FW,21.0,31,25,2222.0,6.0,1.0,4.3,3.7,0.32,4.3,8.0,Brighton-and-Hove-Albion
Billy Gilmour,sct SCO,MF,22.0,30,24,2120.0,0.0,1.0,1.0,2.0,0.13,1.0,3.0,Brighton-and-Hove-Albion
Bart Verbruggen,nl NED,GK,20.0,21,21,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Danny Welbeck,eng ENG,"FW,MF",32.0,29,21,1693.0,5.0,1.0,5.3,1.7,0.37,5.3,7.0,Brighton-and-Hove-Albion
João Pedro,br BRA,"FW,MF",21.0,31,19,2045.0,9.0,3.0,11.9,3.8,0.69,7.9,11.7,Brighton-and-Hove-Albion
Igor,br BRA,DF,25.0,24,17,1637.0,0.0,0.0,0.3,0.7,0.05,0.3,1.0,Brighton-and-Hove-Albion
Joël Veltman,nl NED,DF,31.0,27,17,1588.0,1.0,1.0,0.4,0.5,0.05,0.4,0.9,Brighton-and-Hove-Albion
Jason Steele,eng ENG,GK,32.0,17,17,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Facundo Buonanotte,ar ARG,"FW,MF",18.0,27,17,1364.0,3.0,1.0,2.4,1.8,0.28,2.4,4.2,Brighton-and-Hove-Albion
Kaoru Mitoma,jp JPN,FW,26.0,19,15,1486.0,3.0,4.0,3.5,2.7,0.37,3.5,6.2,Brighton-and-Hove-Albion
Evan Ferguson,ie IRL,FW,18.0,27,15,1367.0,6.0,0.0,4.6,0.5,0.34,4.6,5.1,Brighton-and-Hove-Albion
Carlos Baleba,cm CMR,MF,19.0,27,15,1325.0,0.0,0.0,0.8,0.3,0.08,0.8,1.1,Brighton-and-Hove-Albion
Pervis Estupiñán,ec ECU,DF,25.0,19,15,1243.0,2.0,3.0,1.0,3.5,0.32,1.0,4.4,Brighton-and-Hove-Albion
Adam Webster,eng ENG,DF,28.0,15,13,1144.0,0.0,0.0,0.4,0.1,0.05,0.4,0.6,Brighton-and-Hove-Albion
Adam Lallana,eng ENG,"MF,FW",35.0,25,13,850.0,0.0,1.0,0.8,1.7,0.27,0.8,2.5,Brighton-and-Hove-Albion
James Milner,eng ENG,"DF,MF",37.0,15,11,773.0,0.0,2.0,0.3,1.8,0.24,0.3,2.0,Brighton-and-Hove-Albion
Tariq Lamptey,gh GHA,"DF,FW",22.0,19,10,914.0,0.0,3.0,0.4,1.2,0.16,0.4,1.7,Brighton-and-Hove-Albion
Jack Hinshelwood,eng ENG,DF,18.0,12,8,869.0,3.0,0.0,1.9,0.7,0.26,1.9,2.5,Brighton-and-Hove-Albion
Solly March,eng ENG,"FW,DF",29.0,7,7,554.0,3.0,1.0,2.0,1.0,0.47,2.0,2.9,Brighton-and-Hove-Albion
Jakub Moder,pl POL,"MF,DF",24.0,17,6,618.0,0.0,0.0,0.6,0.8,0.2,0.6,1.3,Brighton-and-Hove-Albion
Mahmoud Dahoud,de GER,MF,27.0,9,6,452.0,0.0,1.0,0.2,0.9,0.22,0.2,1.1,Brighton-and-Hove-Albion
Julio Enciso,py PAR,"MF,FW",19.0,12,5,475.0,0.0,2.0,1.4,1.7,0.59,1.4,3.2,Brighton-and-Hove-Albion
Ansu Fati,es ESP,"MF,FW",20.0,19,3,521.0,2.0,0.0,3.4,0.8,0.73,3.4,4.2,Brighton-and-Hove-Albion
Valentín Barco,ar ARG,"DF,FW",19.0,6,3,307.0,0.0,0.0,0.2,0.2,0.13,0.2,0.4,Brighton-and-Hove-Albion
Odeluga Offiah,eng ENG,DF,20.0,4,1,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Mark O'Mahony,ie IRL,FW,18.0,3,1,63.0,0.0,0.0,0.1,0.0,0.08,0.1,0.1,Brighton-and-Hove-Albion
Benicio Boaitey,eng ENG,"FW,DF",19.0,5,0,40.0,0.0,0.0,0.0,0.1,0.19,0.0,0.1,Brighton-and-Hove-Albion
Steven Alzate,co COL,MF,24.0,0,0,,,,,,,,,Brighton-and-Hove-Albion
Bigo Atom,de GER,DF,18.0,0,0,,,,,,,,,Brighton-and-Hove-Albion
Luca Barrington,eng ENG,MF,18.0,0,0,,,,,,,,,Brighton-and-Hove-Albion
Samy Chouchane,tn TUN,MF,19.0,0,0,,,,,,,,,Brighton-and-Hove-Albion
Josh Duffus,eng ENG,MF,18.0,0,0,,,,,,,,,Brighton-and-Hove-Albion
Ben Jackson,eng ENG,DF,19.0,0,0,,,,,,,,,Brighton-and-Hove-Albion
Leigh Kavanagh,ie IRL,DF,19.0,0,0,,,,,,,,,Brighton-and-Hove-Albion
Cameron Peupion,au AUS,MF,20.0,0,0,,,,,,,,,Brighton-and-Hove-Albion
Imari Samuels,eng ENG,DF,20.0,0,0,,,,,,,,,Brighton-and-Hove-Albion
Illia Zabarnyi,ua UKR,DF,20.0,37,37,3330.0,1.0,0.0,1.1,0.4,0.04,1.1,1.5,Bournemouth
Dominic Solanke,eng ENG,FW,25.0,38,37,3325.0,19.0,3.0,19.6,3.0,0.61,17.2,20.3,Bournemouth
Ryan Christie,sct SCO,MF,28.0,37,35,2907.0,0.0,5.0,2.3,5.4,0.24,2.3,7.7,Bournemouth
Neto,br BRA,GK,34.0,32,32,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Lewis Cook,eng ENG,MF,26.0,33,32,2786.0,0.0,3.0,0.4,4.3,0.15,0.4,4.6,Bournemouth
Marcos Senesi,ar ARG,DF,26.0,31,26,2242.0,4.0,5.0,2.0,1.7,0.15,2.0,3.7,Bournemouth
Justin Kluivert,nl NED,"MF,FW",24.0,32,26,1916.0,7.0,1.0,6.2,1.9,0.38,6.2,8.1,Bournemouth
Adam Smith,eng ENG,DF,32.0,28,25,2150.0,0.0,2.0,0.1,1.3,0.06,0.1,1.4,Bournemouth
Marcus Tavernier,eng ENG,FW,24.0,30,25,2118.0,3.0,4.0,3.9,5.2,0.39,3.9,9.1,Bournemouth
Antoine Semenyo,gh GHA,FW,23.0,33,25,2105.0,8.0,2.0,4.6,3.2,0.34,4.6,7.8,Bournemouth
Milos Kerkez,hu HUN,DF,19.0,28,22,1970.0,0.0,1.0,1.2,0.8,0.09,1.2,2.0,Bournemouth
Lloyd Kelly,eng ENG,DF,24.0,23,17,1559.0,0.0,1.0,0.3,1.2,0.09,0.3,1.6,Bournemouth
Philip Billing,dk DEN,MF,27.0,29,13,1398.0,2.0,2.0,2.5,3.2,0.36,2.5,5.7,Bournemouth
Max Aarons,eng ENG,DF,23.0,20,13,1237.0,0.0,1.0,0.0,0.8,0.06,0.0,0.9,Bournemouth
Dango Ouattara,bf BFA,"FW,DF",21.0,30,12,1229.0,1.0,2.0,2.6,1.5,0.3,2.6,4.1,Bournemouth
Alex Scott,eng ENG,MF,19.0,23,11,1014.0,1.0,1.0,0.7,1.7,0.22,0.7,2.4,Bournemouth
Luis Sinisterra,co COL,"FW,MF",24.0,20,7,699.0,2.0,2.0,2.5,2.4,0.64,2.5,5.0,Bournemouth
Chris Mepham,wls WAL,DF,25.0,10,6,617.0,0.0,1.0,0.1,0.4,0.07,0.1,0.5,Bournemouth
Mark Travers,ie IRL,GK,24.0,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Joe Rothwell,eng ENG,MF,28.0,11,3,386.0,0.0,0.0,0.1,0.2,0.08,0.1,0.3,Bournemouth
Enes Ünal,tr TUR,"FW,MF",26.0,16,2,328.0,2.0,2.0,2.9,1.0,1.07,2.9,3.9,Bournemouth
David Brooks,wls WAL,"FW,MF",26.0,13,2,282.0,1.0,1.0,2.2,1.0,1.03,2.2,3.2,Bournemouth
Ionuț Radu,ro ROU,GK,26.0,2,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Jaidon Anthony,eng ENG,FW,23.0,3,2,152.0,0.0,0.0,0.1,0.0,0.04,0.1,0.1,Bournemouth
Tyler Adams,us USA,MF,24.0,3,1,121.0,0.0,0.0,0.0,0.1,0.06,0.0,0.1,Bournemouth
James Hill,eng ENG,DF,21.0,5,1,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Kieffer Moore,wls WAL,"FW,MF",30.0,8,0,108.0,1.0,0.0,1.5,0.2,1.44,1.5,1.7,Bournemouth
Hamed Junior Traorè,ci CIV,MF,23.0,3,0,47.0,0.0,0.0,0.2,0.0,0.41,0.2,0.2,Bournemouth
Romain Faivre,fr FRA,"MF,FW",25.0,5,0,41.0,0.0,0.0,0.2,0.0,0.34,0.2,0.2,Bournemouth
Dominic Sadi,eng ENG,FW,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Michael DaCosta,es ESP,FW,18.0,0,0,,,,,,,,,Bournemouth
Ben Greenwood,ie IRL,DF,20.0,0,0,,,,,,,,,Bournemouth
Gavin Kilkenny,ie IRL,MF,23.0,0,0,,,,,,,,,Bournemouth
Emiliano Marcondes,dk DEN,"FW,MF",28.0,0,0,,,,,,,,,Bournemouth
Callan Mckenna,sct SCO,GK,16.0,0,0,,,,,,,,,Bournemouth
Darren Randolph,ie IRL,GK,36.0,0,0,,,,,,,,,Bournemouth
Maxwell Wellings,eng ENG,DF,18.0,0,0,,,,,,,,,Bournemouth
Bernd Leno,de GER,GK,31.0,38,38,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Antonee Robinson,us USA,DF,25.0,37,37,3265.0,0.0,6.0,0.7,4.2,0.13,0.7,4.8,Fulham
Andreas Pereira,br BRA,MF,27.0,37,34,2613.0,3.0,7.0,4.6,7.1,0.4,4.6,11.7,Fulham
João Palhinha,pt POR,MF,28.0,33,31,2699.0,4.0,1.0,3.3,0.8,0.14,3.3,4.1,Fulham
Timothy Castagne,be BEL,DF,27.0,34,29,2634.0,1.0,3.0,1.6,1.9,0.12,1.6,3.5,Fulham
Calvin Bassey,ng NGA,DF,23.0,29,25,2303.0,1.0,0.0,0.3,0.0,0.01,0.3,0.4,Fulham
Alex Iwobi,ng NGA,"FW,MF",27.0,30,25,2192.0,5.0,2.0,5.3,4.7,0.41,5.3,10.0,Fulham
Willian,br BRA,FW,34.0,31,24,2053.0,4.0,2.0,5.1,3.9,0.4,3.6,7.5,Fulham
Tosin Adarabioyo,eng ENG,DF,25.0,20,18,1617.0,2.0,0.0,0.7,0.1,0.05,0.7,0.8,Fulham
Rodrigo Muniz,br BRA,FW,22.0,26,18,1593.0,9.0,1.0,8.7,2.0,0.61,8.7,10.7,Fulham
Raúl Jiménez,mx MEX,FW,32.0,24,18,1395.0,7.0,0.0,5.2,1.5,0.43,5.2,6.6,Fulham
Tim Ream,us USA,DF,35.0,18,17,1503.0,1.0,0.0,1.0,0.0,0.06,1.0,1.0,Fulham
Bobby Reid,jm JAM,FW,30.0,33,17,1423.0,6.0,2.0,4.6,1.8,0.4,4.6,6.4,Fulham
Harry Wilson,wls WAL,FW,26.0,35,16,1620.0,4.0,6.0,3.4,3.5,0.38,3.4,6.8,Fulham
Issa Diop,fr FRA,DF,26.0,18,16,1424.0,0.0,0.0,0.3,0.0,0.02,0.3,0.3,Fulham
Harrison Reed,eng ENG,MF,28.0,27,15,1325.0,0.0,2.0,0.3,1.1,0.09,0.3,1.4,Fulham
Tom Cairney,sct SCO,MF,32.0,34,14,1488.0,1.0,4.0,1.1,2.3,0.2,1.1,3.4,Fulham
Saša Lukić,rs SRB,MF,26.0,24,13,1122.0,1.0,0.0,1.6,0.8,0.19,1.6,2.4,Fulham
Kenny Tete,nl NED,DF,27.0,14,10,867.0,1.0,0.0,0.9,0.4,0.13,0.9,1.2,Fulham
Carlos Vinícius,br BRA,FW,28.0,13,2,315.0,2.0,0.0,1.6,0.8,0.69,1.6,2.4,Fulham
Adama Traoré,es ESP,"FW,MF",27.0,17,1,377.0,2.0,3.0,1.5,0.7,0.53,1.5,2.2,Fulham
Armando Broja,al ALB,FW,21.0,8,0,88.0,0.0,1.0,0.0,0.4,0.41,0.0,0.4,Fulham
Luke Harris,wls WAL,MF,18.0,1,0,75.0,0.0,0.0,0.3,0.0,0.33,0.3,0.3,Fulham
Fodé Ballo-Touré,sn SEN,"DF,MF",26.0,6,0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Aleksandar Mitrović,rs SRB,FW,28.0,1,0,33.0,0.0,0.0,0.2,0.0,0.44,0.2,0.2,Fulham
Marek Rodák,sk SVK,GK,26.0,0,0,,0.0,0.0,,,,,,Fulham
Luc De Fougerolles,ca CAN,DF,17.0,0,0,,,,,,,,,Fulham
Matt Dibley-Dias,nz NZL,MF,19.0,0,0,,,,,,,,,Fulham
Tyrese Francois,au AUS,MF,23.0,0,0,,,,,,,,,Fulham
